Survived;Pclass;Sex;Age;SibSp;Parch;Fare
1;2;female;14;1;0;300708
1;2;female;55;0;0;16
0;2;male;35;0;0;26
1;2;male;34;0;0;13
0;2;male;66;0;0;10.5
0;2;female;27;1;0;21
1;2;female;3;1;2;415792
1;2;female;29;1;0;26
1;2;female;21;0;0;10.5
1;2;female;5;1;2;27.75
1;2;female;29;0;0;10.5
0;2;male;32;0;0;10.5
0;2;male;21;0;0;73.5
1;2;male;0.83;0;2;29
1;2;female;17;0;0;10.5
1;2;female;34;0;1;23
0;2;male;34;1;0;26
0;2;male;29;1;0;21
0;2;male;21;2;0;73.5
0;2;male;32.5;1;0;300708
1;2;female;32.5;0;0;13
1;2;female;29;1;0;26
0;2;male;25;0;0;13
0;2;male;23;0;0;150458
0;2;male;18;0;0;11.5
0;2;male;19;1;1;36.75
0;2;male;36.5;0;2;26
0;2;male;42;0;0;13
0;2;male;51;0;0;12525
1;2;female;40;0;0;15.75
0;2;male;30;0;0;13
1;2;male;1;2;1;39
1;2;female;32;0;0;13
0;2;male;19;0;0;13
1;2;male;3;1;1;26
0;2;female;24;0;0;13
1;2;female;35;0;0;21
0;2;male;30;0;0;13
0;2;male;42;1;0;27
0;2;male;30;0;0;10.5
0;2;male;27;0;0;13
1;2;male;19;0;0;10.5
0;2;male;18;0;0;13
0;2;male;59;0;0;13.5
0;2;male;24;0;0;10.5
0;2;male;44;1;0;26
1;2;female;8;0;2;26.25
0;2;male;19;0;0;10.5
0;2;male;33;0;0;12275
0;2;male;29;0;0;10.5
1;2;female;24;0;2;14.5
0;2;male;54;1;0;26
1;2;female;50;0;1;26
0;2;male;36;0;0;10.5
1;2;female;41;0;1;19.5
1;2;male;42;0;0;13
0;2;male;36;0;0;12875
0;2;male;30;1;0;24
0;2;female;26;1;1;26
0;2;male;43;1;1;26.25
1;2;female;24;1;0;26
0;2;male;54;0;0;14
1;2;female;30;0;0;12.35
1;2;female;22;1;1;29
1;2;female;36;0;0;13
1;2;male;2;1;1;26
0;2;male;28;0;0;13
0;2;male;25;0;0;13
0;2;male;36;0;0;13
1;2;female;24;0;0;13
1;2;female;40;0;0;13
0;2;female;38;0;0;13
0;2;male;29;1;0;277208
0;2;male;18;0;0;73.5
1;2;female;36;0;0;13
1;2;female;17;0;0;12
0;2;male;46;0;0;26
0;2;male;23;0;0;10.5
1;2;female;28;0;0;12.65
0;2;male;34;1;0;21
1;2;male;3;1;1;18.75
1;2;female;34;1;1;32.5
1;2;female;18;0;2;13
0;2;male;30;0;0;13
1;2;female;28;1;0;26
1;2;female;19;0;0;26
1;2;female;42;1;0;26
1;2;female;24;2;3;18.75
0;2;male;31;0;0;10.5
1;2;female;45;1;1;26.25
1;2;female;28;0;0;13
1;2;female;13;0;1;19.5
0;2;male;36;1;2;27.75
1;2;female;50;0;0;10.5
0;2;male;48;0;0;13
1;2;female;33;1;2;27.75
1;2;female;23;0;0;137917
0;2;male;34;1;0;21
1;2;female;33;0;2;26
1;2;female;34;0;0;10.5
1;2;female;36;1;0;26
1;2;female;50;0;0;10.5
0;2;male;23;2;1;11.5
1;2;female;2;1;1;26
1;2;female;7;0;2;26.25
1;2;male;32;1;0;26
1;2;female;19;1;0;26
1;2;male;8;1;1;36.75
0;2;male;27;0;0;26
0;2;male;28;0;0;13.5
1;2;male;62;0;0;10.5
1;2;female;34;0;0;13
1;2;female;25;1;1;30
0;2;male;54;0;0;26
0;2;male;47;0;0;15
0;2;male;37;1;0;26
1;2;female;24;2;1;27
1;2;female;22;1;2;415792
1;2;female;24;1;2;65
1;2;female;4;2;1;39
0;2;male;26;0;0;10.5
0;2;male;57;0;0;12.35
1;2;female;28;0;0;13
0;2;male;31;1;1;26.25
1;2;female;18;0;1;23
0;2;male;24;2;0;73.5
0;2;male;23;0;0;13
0;2;male;32;2;0;73.5
0;2;male;25;0;0;13
1;2;female;40;1;1;39
0;2;male;70;0;0;10.5
1;2;male;31;0;0;13
0;2;male;60;1;1;39
0;2;male;25;1;2;415792
0;2;male;52;0;0;13.5
0;2;male;39;0;0;26
1;2;female;45;0;0;13.5
0;2;male;52;0;0;13
1;2;female;27;0;0;10.5
1;2;female;6;0;1;33
0;2;male;34;0;0;13
0;2;male;50;0;0;13
1;2;female;30;3;0;21
0;2;male;25;1;0;26
0;2;male;23;0;0;13
0;2;male;23;0;0;13
1;2;female;30;0;0;13
1;2;female;4;1;1;23
1;2;female;48;1;2;65
1;2;male;0.67;1;1;14.5
0;2;male;18;0;0;11.5
0;2;female;57;0;0;10.5
1;2;female;54;1;3;23
0;2;male;16;0;0;26
0;2;male;39;0;0;13
0;2;male;34;0;0;13
1;2;female;31;1;1;26.25
0;2;male;39;0;0;13
0;2;male;35;0;0;10.5
0;2;male;31;1;1;370042
1;2;male;1;0;2;370042
1;2;male;0.83;1;1;18.75
0;2;male;16;0;0;10.5
0;2;male;28;0;1;33
0;2;female;44;1;0;26
0;2;male;21;1;0;11.5
0;2;male;24;0;0;13
1;2;female;42;0;0;13
1;2;female;27;1;0;138583
1;2;female;28;1;0;24
1;2;female;25;0;1;26
0;2;male;28;0;0;10.5
0;2;male;27;0;0;13
